clae6,clae6_desc
461099,Venta al por mayor en comisión o consignación de  mercaderías n.c.p.
462132,"Acopio y acondicionamiento de cereales y semillas, excepto de algodón y semillas y granos para forrajes"
463129,"Venta al por mayor de aves, huevos y productos de granja y de la caza n.c.p. (Incluye la venta al por mayor  de carne de ave fresca, congelada o refrigerada)"
464221,Venta al por mayor de papel y productos de papel y cartón excepto envases
472172,"Venta al por menor de bombones, golosinas y demás productos de confitería"
474010,"Venta al por menor de equipos, periféricos,  accesorios y programas informáticos"
476400,"Venta al por menor de juguetes, artículos de cotillón y juegos de mesa"
491110,Servicio de transporte ferroviario urbano y suburbano de pasajeros (Incluye el servicio de subterráneo y de premetro)
492140,"Servicio de transporte automotor urbano y suburbano no regular de pasajeros de oferta libre,  excepto mediante taxis y remises, alquiler de autos con chofer y transporte escolar (Incluye servicios urbanos especiales como charters, servicios contratados, servicios para ámbito portuario o aeroportuario, servicio de hipódromos y espectáculos deportivos y culturales)"
492160,Servicio de transporte automotor interurbano no regular de pasajeros
523020,Servicios de agencias marítimas para el transporte de mercaderías
551010,Servicios de alojamiento por hora
561013,"Servicios de """"fast food"""" y locales de venta de comidas y bebidas al paso (Incluye el expendio de hamburguesas, productos lácteos excepto helados, etc.) "
602310,Emisión de señales de televisión por suscripción
682091,Servicios prestados por inmobiliarias
773090,"Alquiler de maquinaria y equipo n.c.p., sin personal"
812010,Servicios de limpieza general de edificios
854990,"Servicios de enseñanza n.c.p. (Incluye instrucción impartida mediante programas de radio, televisión, correspondencia y otros medios de comunicación, escuelas de manejo, actividades de enseñanza a domicilio y/o particulares, etc.)"
862130,"Servicios de atención médica en dispensarios, salitas, vacunatorios y otros locales de atención primaria de la salud"
14115,Engorde en corrales (Feed-Lot)
14510,"Cría de ganado porcino, excepto la realizada en cabañas"
331220,Reparación y mantenimiento de maquinaria y equipo de uso agropecuario y forestal
662090,Servicios auxiliares a los servicios de seguros n.c.p.
711002,Servicios geológicos y de prospección
862120,"Servicios de proveedores de atención médica domiciliaria (Incluye las actividades llevadas a cabo en domicilios de pacientes con alta precoz, y que ofrecen atención por módulo) "
24010,"Servicios forestales para la extracción de madera (Incluye tala de árboles, acarreo y transporte en el interior del bosque, servicios realizados por terceros, etc.)"
99000,"Servicios de apoyo para la minería, excepto para la extracción de petróleo y gas natual"
11129,Cultivo de cereales de uso forrajero n.c.p.
81300,"Extracción de arenas, canto rodado y triturados pétreos (Incluye arena para construcción, arena silícea, otras arenas naturales, canto rodado, dolomita triturada, salto triturado, piedra partida  y  otros triturados pétreos, etc.)"
461029,Venta al por mayor en comisión o consignación de productos pecuarios n.c.p.
465220,Venta al por mayor de componentes electrónicos
951200,Reparación y mantenimiento de equipos de telefonía y de comunicación
821900,"Servicios de fotocopiado, preparación de documentos y otros servicios de apoyo de oficina"
104012,Elaboración de aceite de oliva
110491,Elaboración de hielo
161002,Aserrado y cepillado de madera implantada
461091,"Venta al por mayor en comisión o consignación de productos textiles, prendas de vestir, calzado excepto el ortopédico,  artículos de marroquinería, paraguas y similares y productos de cuero n.c.p."
465100,"Venta al por mayor de equipos, periféricos, accesorios y programas informáticos"
476320,"Venta al por menor de armas, artículos para la caza y pesca"
479900,"Venta al por menor no realizada en establecimientos  n.c.p. (Incluye venta mediante máquinas expendedoras, vendedores ambulantes y vendedores a domicilio)"
201110,Fabricación de gases industriales y medicinales comprimidos o licuados
273190,Fabricación de hilos y cables aislados n.c.p.
431100,"Demolición y voladura de edificios y de sus partes (Incluye los trabajos de limpieza de escombros asociada a la demolición, los derribos y demolición de edificios y obras de ingeniería civil,.los trabajos de voladura y remoción de rocas) "
854960,Enseñanza artística
265200,Fabricación de relojes
523032,Servicios de operadores logísticos seguros (OLS) en el ámbito aduanero
162100,"Fabricación de hojas de madera para enchapado, fabricación de tableros contrachapados, tableros laminados, tableros de partículas y tableros y paneles n.c.p. (Incluye la fabricación de madera terciada y  machimbre)"
31120,Pesca y elaboración de productos marinos realizada a bordo de buques procesadores
81400,"Extracción de arcilla y caolín (Incluye andalucita, arcillas, bentonita, caolín, pirofilita, silimanita, mullita, tierra de chamota o de dinas, etc.)"
141191,Fabricación de accesorios de vestir excepto de cuero
143020,Fabricación de prendas de vestir y artículos similares de punto
251300,Fabricación de generadores de vapor
265101,"Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar y otros fines, excepto el equipo de control de procesos industriales "
477480,Venta al por menor de obras de arte
477830,Venta al por menor de antigüedades (Incluye venta de antigüedades en remates)
322001,Fabricación de instrumentos de música
12709,Cultivo de té y otras plantas cuyas hojas se utilizan para preparar infusiones
439990,"Actividades especializadas de construcción n.c.p. (Incluye el alquiler, montaje y desmantelamiento de andamios,  la construcción de chimeneas y hornos industriales, el acorazamiento de cajas fuertes y cámaras frigoríficas, el armado e instalación de compuertas para diques, etc.)"
462131,"Venta al por mayor de cereales (incluye arroz), oleaginosas y forrajeras excepto semillas"
463211,Venta al por mayor de vino
464223,Venta al por mayor de artículos de librería y papelería
476310,"Venta al por menor de equipos  y artículos deportivos (Incluye la venta y reparación  de bicicletas, la venta  de aparatos de gimnasia y de equipos de camping, etc.)  "
521020,Servicios de manipulación de carga en el ámbito portuario
523031,Servicios de gestión de agentes de transporte aduanero excepto agencias marítimas
620900,Servicios de informática n.c.p.
641910,Servicios de la banca mayorista
661131,Servicios de bolsas de comercio
681010,"Servicios de alquiler y explotación de inmuebles para fiestas, convenciones y otros eventos similares "
681099,"Servicios inmobiliarios realizados por cuenta propia, con bienes rurales propios o arrendados n.c.p."
711003,Servicios relacionados con la electrónica y las comunicaciones
851010,Guarderías y jardines maternales
854940,Enseñanza especial y para discapacitados
949910,"Servicios de mutuales, excepto mutuales de salud y financieras"
952100,"Reparación de artículos eléctricos y electrónicos de uso doméstico (Incluye  TV, radios, reproductores cd's y dvd's, cámaras de video de uso familiar, heladeras, lavarropas, secarropas, aire acondicionado de menos de 6000 frigorías)"
14121,Cría de ganado bovino realizada en cabañas (Incluye: ganado bubalino y la producción de semen)
105030,Elaboración industrial de helados
239410,Elaboración de cemento
329090,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)"
382020,Recuperación de materiales y desechos no metálicos
591110,Producción de filmes y videocintas
601000,Emisión y retransmisión de radio
11331,"Cultivo de hortalizas de hoja y de otras hortalizas frescas (Incluye acelga, apio, coles, espinaca, lechuga, perejil, radicheta, repollo, etc.)"
139209,"Fabricación de artículos confeccionados de materiales textiles n.c.p., excepto prendas de vestir "
265102,Fabricación de equipo de control de procesos industriales
464114,Venta al por mayor de tapices y alfombras de materiales textiles
721010,Investigación  y desarrollo experimental en el campo de la ingeniería y la tecnología
512000,Servicio de transporte aéreo de cargas
12110,Cultivo de vid para vinificar
552000,Servicios de alojamiento en campings (Incluye refugios de montaña)
11400,Cultivo de tabaco
452500,Tapizado y retapizado de automotores
201180,Fabricación de materias químicas inorgánicas básicas n.c.p.
239422,Elaboración de cal
282300,Fabricación de maquinaria metalúrgica
431220,"Perforación y sondeo, excepto perforación de pozos de petróleo, de gas, de minas e hidráulicos  y prospección de yacimientos de petróleo (Incluye los trabajos de perforación, sondeo y muestreo con fines de construcción o para estudios geofísicos, geológicos u otros similares, las perforaciones horizontales para el paso de cables o cañerías de drenaje, etc.), (No incluye los servicios de perforación relacionados con la extracción de petróleo y gas, activ.091000, ni la perforación de pozos hidráulicos, activ.422100)"
463130,Venta al por mayor de pescado
16230,Servicios de esquila de animales
772099,Alquiler de efectos personales y enseres domésticos n.c.p. (Incluye alquiler de artículos deportivos)
201120,Fabricación de curtientes naturales y sintéticos
210090,Fabricación de productos de laboratorio y productos botánicos de uso farmaceútico n.c.p.
259992,Fabricación de cajas de seguridad
321020,Fabricación de bijouterie (Incluye la fabricación de joyas de fantasía y accesorios similares)
461022,Venta al por mayor en comisión o consignación de ganado en pie excepto bovino
463212,Venta al por mayor de bebidas espiritosas
11911,Cultivo de flores
773020,"Alquiler de maquinaria y equipo para la minería, sin operarios"
452800,Mantenimiento y reparación de frenos y embragues
452990,"Mantenimiento y reparación del motor n.c.p., mecánica integral (Incluye auxilio y servicios de grúa para automotores) "
461040,Venta al por mayor en comisión o consignación de combustibles (No incluye electricidad)
463121,Venta al por mayor de carnes rojas y derivados (Incluye abastecedores y distribuidores de carne)
463153,Venta al por mayor de aceites y grasas
465910,Venta al por mayor de máquinas y equipo de control y seguridad
466110,Venta al por mayor de combustibles y lubricantes para automotores
475210,"Venta al por menor de aberturas (Incluye puertas, ventanas, cortinas de enrollar de PVC, madera, aluminio, puertas corredizas, frentes de placards, etc.)"
478010,"Venta al por menor de alimentos, bebidas y tabaco en puestos móviles y mercados"
491200,Servicio de transporte ferroviario de cargas
524190,Servicios complementarios para el transporte terrestre n.c.p. (Incluye servicios de mantenimiento de material ferroviario)
524290,Servicios complementarios para el transporte marítimo n.c.p. (Incluye explotación de servicios de terminales como puertos y muelles)
602900,Servicios de televisión n.c.p
702091,"Servicios de asesoramiento, dirección y gestión empresarial realizados por integrantes de los órganos de administración y/o fiscalización en sociedades anónimas"
812090,Servicios de limpieza n.c.p.
829200,Servicios de envase y empaque
861010,Servicios de internación excepto instituciones relacionadas con la salud mental
869090,"Servicios relacionados con la salud humana n.c.p. (Incluye servicios de psicólogos, fonoaudiólogos, servicios de enfermería, terapia ocupacional, bancos de sangre, de semen,etc.)"
949990,Servicios de asociaciones n.c.p.
14710,Producción de lana y pelo de oveja y cabra (cruda)
221909,Fabricación  de productos de caucho n.c.p.
231090,Fabricación de productos de vidrio n.c.p.
279000,Fabricación  de equipo eléctrico n.c.p.
463154,"Venta al por mayor de café, té, yerba mate y otras infusiones y especias y condimentos (Incluye la venta de sal)"
812020,Servicios de desinfección y exterminio de plagas en el ámbito urbano
422200,"Construcción, reforma y reparación de redes distribución de electricidad, gas, agua, telecomunicaciones y de otros servicios públicos"
464129,"Venta al por mayor de prendas y accesorios de vestir n.c.p., excepto uniformes y ropa de trabajo"
477210,"Venta al por menor de artículos de talabartería y artículos regionales (Incluye venta de artículos regionales de cuero, plata, alpaca y similares)"
13011,Producción de semillas híbridas de cereales y oleaginosas
139203,Fabricación de artículos de lona y sucedáneos de lona
451290,"Venta de vehículos automotores usados n.c.p. (Incluye, casas rodantes, trailers, camiones, remolques, ambulancias, ómnibus, microbuses y similares, cabezas tractoras, etc.)"
466990,"Venta al por mayor de productos intermedios, desperdicios y desechos n.c.p."
939090,Servicios de entretenimiento n.c.p.
21030,Explotación de viveros forestales (Incluye propagación de especies forestales)
152040,Fabricación de partes de calzado
266090,"Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos n.c.p. (Incluye prótesis, aparatos ortopédicos, materiales para fracturas, etc.)"
381100,"Recolección, transporte, tratamiento y disposición final de residuos no peligrosos"
429010,"Construcción, reforma y reparación de obras hidráulicas (Incluye obras fluviales y canales, acueductos, diques, etc.)"
433020,"Terminación y revestimiento de paredes y pisos (Incluye yesería, salpicré, el pulido de pisos y la colocación de revestimientos de cerámicas, de piedra tallada, de suelos flexibles, parqué, baldosas, empapelados, etc.)"
463151,"Venta al por mayor de pan, productos de confitería y pastas frescas"
476110,Venta al por menor de libros
641100,Servicios de la banca central (Incluye las actividades del Banco Central de la República Argentina)
771110,Alquiler de automóviles sin conductor
939030,"Servicios de salones de baile, discotecas y similares"
16299,Servicios de apoyo pecuarios n.c.p.
14420,Cría de ganado ovino realizada en cabañas
13020,"Producción de otras formas de propagación de cultivos agrícolas (Incluye gajos, bulbos, estacas enraizadas o no, esquejes, plantines, etc.) "
131209,"Fabricación de tejidos (telas) planos de fibras textiles n.c.p., incluye hilanderías y tejedurías integradas"
106139,"Preparación y molienda de legumbres y cereales n.c.p., excepto trigo y arroz y molienda húmeda de maíz"
139202,Fabricación de ropa de cama y mantelería
464610,"Venta al por mayor de muebles excepto de oficina, artículos de mimbre y corcho, colchones y somieres"
465920,"Venta al por mayor de maquinaria y equipo de oficina, excepto equipo informático"
522020,Servicios de almacenamiento y depósito en cámaras frigoríficas
681020,Servicios de alquiler  de consultorios médicos
31300,Servicios de apoyo para la pesca
382010,Recuperación de materiales y desechos metálicos
139201,"Fabricación de frazadas, mantas, ponchos, colchas, cobertores, etc."
141202,Confección de prendas de vestir de cuero
182000,Reproducción de grabaciones
323001,"Fabricación de artículos de deporte (Incluye equipos de deporte para gimnasia y campos de juegos, equipos de pesca y camping, etc., excepto indumentaria deportiva: 141040)"
461031,Operaciones de intermediación de carne - consignatario directo -
464141,Venta al por mayor de pieles y cueros curtidos y salados
523019,Servicios de gestión aduanera para el transporte de mercaderías n.c.p.
643009,Fondos y sociedades de inversión y entidades financieras similares n.c.p.
931041,Servicios prestados por deportistas y atletas para la realización de prácticas deportivas
139400,"Fabricación de cuerdas, cordeles, bramantes y redes"
104020,Elaboración de margarinas y grasas vegetales comestibles similares
14920,Cunicultura
282110,Fabricación de tractores
72100,Extracción de minerales y concentrados de uranio y torio
451210,"Venta de autos, camionetas y utilitarios, usados (Incluye taxis, jeeps, 4x4 y vehículos similares)"
452401,"Reparaciones eléctricas del tablero e instrumental, reparación y recarga de baterías, instalación de alarmas, radios, sistemas de climatización"
463140,"Venta al por mayor y empaque de frutas, de legumbres y hortalizas frescas"
464330,"Venta al por mayor de instrumental médico y odontológico y artículos ortopédicos (Incluye venta de vaporizadores, nebulizadores, masajeadores, termómetros, prótesis, muletas, plantillas, calzado ortopédico y otros artículos similares de uso personal o doméstico)"
465390,"Venta al por mayor de máquinas, equipos e implementos de uso especial n.c.p.  (Incluye motoniveladoras, excavadoras, palas mecánicas, perforadoras-percutoras, etc.)"
469090,Venta al por mayor de mercancías n.c.p.
475230,Venta al por menor de artículos de ferretería y materiales eléctricos
477490,"Venta al por menor de artículos nuevos n.c.p. (Incluye la venta realizada en casas de regalos, de artesanías, pelucas,  de artículos religiosos -santerías-, recarga de matafuegos,  etc.) "
492250,Servicio de transporte automotor de mercaderías y sustancias peligrosas
522010,Servicios de almacenamiento y depósito en silos
523039,Servicios de operadores logísticos n.c.p.
530010,Servicio de correo postal (Incluye las actividades de correo postal sujetas a la obligación de servicio universal)
551022,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que incluyen servicio de restaurante al público"
562010,"Servicios de preparación de comidas para empresas y eventos (Incluye el servicio de catering, el suministro de comidas para banquetes, bodas, fiestas y otras celebraciones, comidas para hospital, etc.) "
649290,"Servicios de crédito n.c.p. (Incluye el otorgamiento de préstamos por entidades que no reciben depósitos y que están fuera del sistema bancario y cuyo destino es financiar el consumo, la vivienda u otros bienes)"
661999,Servicios auxiliares a la intermediación financiera n.c.p. (Incluye asesoría financiera)
721030,Investigación  y desarrollo experimental en el campo de las ciencias agropecuarias
852100,Enseñanza secundaria de formación general
862200,Servicios odontológicos
863120,"Servicios de prácticas de diagnóstico por imágenes (Incluye radiología, ecografía, resonancia magnética, etc.)"
931050,"Servicios de acondicionamiento físico (Incluye gimnasios de musculación, pilates, yoga, personal trainner, etc.)"
960300,Pompas fúnebres y servicios conexos
110492,"Elaboración de bebidas no alcohólicas n.c.p. (Incluye los jugos para diluir o en polvo llamados """"sintéticos"""" o de un contenido en jugos naturales inferior al 50%), (No incluye a los jugos naturales y sus concentrados, de frutas, hortalizas y legumbres - actividad 103020)"
351320,Distribución de energía eléctrica
465690,"Venta al por mayor de muebles e instalaciones para la industria, el comercio y los servicios n.c.p."
614010,Servicios de proveedores de acceso a internet
854950,"Enseñanza de gimnasia, deportes y actividades físicas"
11310,"Cultivo de papa, batata y mandioca"
103091,"Elaboración de hortalizas y legumbres deshidratadas o desecadas, preparación n.c.p. de hortalizas y legumbres (Incluye la elaboración de harina y escamas de papa, sémola de hortalizas y legumbres,  hortalizas y legumbres deshidratadas, etc.)"
221120,Recauchutado y renovación de cubiertas
202101,"Fabricación de insecticidas, plaguicidas y  productos químicos de uso agropecuario "
239201,Fabricación de ladrillos
239900,"Fabricación de productos minerales no metálicos n.c.p. (Incluye la fabricación de abrasivos, lijas, membranas asfálticas, etc.)"
239591,Elaboración de hormigón
465350,"Venta al por mayor de máquinas, equipos e implementos de uso médico y paramédico (Incluye venta de equipos de diagnóstico y tratamiento, camillas, cajas de cirugía, jeringas y otros implementos de material descartable, etc.)"
631110,Procesamiento de datos
641941,Servicios de intermediación financiera realizada por las compañías financieras
649991,"Servicios de socios inversores en sociedades regulares según Ley 19.550 - S.R.L., S.C.A, etc, excepto socios inversores en sociedades anónimas incluidos en 649999 (No incluye los servicios de socios miembros  que desarrollan actividades de asesoramiento, dirección y gestión empresarial de sociedades regulares según Ley 19.550: 702091 y 702092) "
477890,Venta al por menor de artículos usados n.c.p. excepto+E1155 automotores y motocicletas
12420,"Cultivo de frutas secas (Incluye almendra, avellana, castaña, nuez, pistacho, etc.)"
462201,"Venta al por mayor de lanas, cueros en bruto y productos afines"
900091,"Servicios de espectáculos artísticos n.c.p. (Incluye espectáculos circenses, de títeres, mimos, etc.)"
331301,"Reparación y mantenimiento de instrumentos médicos, ópticos y de precisión, equipo fotográfico, aparatos para medir, ensayar o navegar, relojes, excepto para uso personal o doméstico"
433030,"Colocación de cristales en obra (Incluye la instalación y revestimiento de vidrio, espejos y otros artículos de vidrio, etc.)"
620300,Servicios de consultores en tecnología de la información
631190,Actividades conexas al procesamiento y hospedaje de datos n.c.p.
732000,"Estudio de mercado, realización de encuestas de opinión pública"
263000,Fabricación  de equipos de comunicaciones y transmisores de radio y televisión
661920,Servicios de casas y agencias de cambio
89120,"Extracción de minerales para la fabricación de productos químicos (Incluye azufre, boracita e hidroboracita, calcita, celestina, colemanita, fluorita, litio y sales de litio naturales, sulfato de aluminio, sulfato de hierro, sulfato de magnesio, sulfato de sodio, ocres,  tinkal, ulexita, asfaltita, laterita, etc.)"
103030,"Elaboración de frutas, hortalizas y legumbres congeladas"
239202,Fabricación de revestimientos cerámicos
309900,Fabricación de equipo de transporte n.c.p.
464991,Venta al por mayor de flores y plantas naturales y artificiales
592000,Servicios de grabación de sonido y edición de música
771220,"Alquiler de equipo de transporte para vía aérea, sin operarios ni tripulación"
239399,Fabricación de artículos de cerámica no refractaria para uso no estructural n.c.p.
524320,Servicios de hangares y estacionamiento de aeronaves
842200,Servicios de defensa
12590,"Cultivo de plantas sacaríferas n.c.p. (Incluye remolacha azucarera, etc.)"
14620,Producción de leche de oveja y de cabra
453210,Venta al por menor de cámaras y cubiertas
454010,"Venta de motocicletas y de sus partes, piezas y accesorios"
463112,Venta al por mayor de fiambres y quesos
464112,"Venta al por mayor de artículos de mercería (Incluye la venta de puntillas, galones, hombreras, agujas, botones, etc.)"
466330,"Venta al por mayor de artículos de ferretería y materiales eléctricos (Incluye la venta  de clavos, cerraduras, cable coaxil. etc)"
472111,Venta al por menor de productos lácteos
472112,Venta al por menor de fiambres y embutidos
472150,Venta al por menor de pescados y  productos de la pesca
475220,"Venta al por menor de maderas y artículos de madera  y corcho, excepto muebles"
477230,Venta al por menor de calzado deportivo
477320,"Venta al por menor de productos cosméticos, de tocador y de perfumería"
477460,"Venta al por menor de fuel oil, gas en garrafas, carbón y leña (No incluye las estaciones de servicios que se clasifican en 473000)"
612000,Servicios de telefonía móvil
682010,Servicios de administración de consorcios de edificios
702092,"Servicios de asesoramiento, dirección y gestión empresarial realizados por integrantes de cuerpos de dirección en sociedades excepto las anónimas"
749009,"Actividades profesionales, científicas y técnicas n.c.p."
771190,"Alquiler de vehículos automotores n.c.p., sin conductor ni operarios (Incluye: camiones, remolques, etc.)"
851020,"Enseñanza inicial, jardín de infantes y primaria"
863110,"Servicios de prácticas de diagnóstico en laboratorios (Incluye análisis clínicos, bioquímica, anatomía patológica, laboratorio hematológico, etc.)"
870220,Servicios de atención a personas minusválidas con alojamiento
960101,Servicios de limpieza de prendas prestado por tintorerías rápidas
11211,Cultivo de soja
101099,"Matanza de animales n.c.p. y procesamiento de su carne, elaboración de subproductos cárnicos n.c.p. (Incluye producción de carne fresca, refrigerada o congelada de liebre, conejo, animales de caza, etc.)"
105010,"Elaboración de leches y productos lácteos deshidratados (Incluye la obtención de quesos, helados, manteca, postres lácteos, yogur y otros productos lácteos fermentados o coagulados cuando son obtenidos en forma integrada con la producción de leche)"
105020,Elaboración de quesos (Incluye la producción de suero)
259993,Fabricación de productos metálicos de tornería y/o matricería
281201,Fabricación de bombas
282120,Fabricación de maquinaria y equipo de uso agropecuario y forestal
821100,Servicios combinados de gestión administrativa de oficinas
900030,"Servicios conexos a la producción de espectáculos teatrales y musicales  (Incluye diseño y manejo de escenografía, montaje de iluminación y sonido, etc.)"
11501,Cultivo de algodón
24020,"Servicios forestales excepto los servicios para la extracción de madera (Incluye protección contra incendios, evaluación de masas forestales en pie, estimación del valor de la madera, etc.)"
990000,Servicios de organizaciones y órganos extraterritoriales
22020,"Extracción de productos forestales de bosques nativos (Incluye tala de árboles, desbaste de troncos y producción de madera en bruto, leña, postes, la extracción de rodrigones, varas, varillas y la recolección de  gomas naturales, líquenes, musgos, resinas y de rosa mosqueta,etc)"
422100,Perforación de pozos de agua
463180,Venta al por mayor en supermercados mayoristas de alimentos
463191,"Venta al por mayor de frutas, legumbres y cereales secos y en conserva"
842300,Servicios para el orden público y la seguridad
13019,Producción de semillas de cultivos agrícolas n.c.p.
151200,"Fabricación de maletas, bolsos de mano y similares, artículos de talabartería y artículos de cuero n.c.p."
202311,"Fabricación de preparados para limpieza, pulido y saneamiento "
524310,"Servicios de explotación de infraestructura para el transporte aéreo, derechos de aeropuerto"
773010,"Alquiler de maquinaria y equipo agropecuario y forestal, sin operarios"
880000,Servicios sociales sin alojamiento
239421,Elaboración de  yeso
107200,Elaboración de azúcar
202320,"Fabricación de cosméticos, perfumes y  productos de higiene y tocador"
12410,"Cultivo de frutas tropicales y subtropicales (Incluye banana, ananá, mamón, palta, etc.)"
303000,Fabricación y reparación de aeronaves
309100,Fabricación de motocicletas
465320,"Venta al por mayor de máquinas, equipos e implementos de uso en la elaboración de alimentos, bebidas y tabaco (Incluye máquinas para moler, picar y cocer alimentos, fabricadora de pastas, bateas, enfriadoras y envasadoras de bebidas, etc.)"
620200,Servicios de consultores en equipo de informática
931030,Promoción y producción de espectáculos deportivos
107930,Elaboración de yerba mate
264000,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y video, y productos conexos"
81100,"Extracción de rocas ornamentales (Incluye areniscas, cuarcita, dolomita, granito, mármol, piedra laja, pizarra, serpentina, etc.)"
131120,Preparación de fibras animales de uso textil
201130,"Fabricación de materias colorantes básicas, excepto pigmentos preparados"
201140,"Fabricación de combustible nuclear, sustancias y materiales radiactivos"
321012,Fabricación de objetos de platería
561040,Servicios de preparación de comidas realizadas por/para vendedores ambulantes.
649910,"Servicios de agentes de mercado abierto """"puros"""" (Incluye las transacciones extrabursátiles - por cuenta propia -)"
465360,"Venta al por mayor de máquinas, equipos e implementos de uso en la industria del plástico y del caucho (Incluye sopladora de envases, laminadora de plásticos, máquinas extrusoras y moldeadoras, etc.)"
102002,Elaboración de pescados de ríos y lagunas y otros productos fluviales y lacustres
71000,"Extracción de minerales de hierro (Incluye hematitas, limonitas, magnetitas, siderita, etc.)"
439100,Alquiler de equipo de construcción o demolición dotado de operarios
439910,"Hincado de pilotes, cimentación y otros trabajos de hormigón armado"
464930,Venta al por mayor de juguetes (Incluye artículos de cotillón)
